jahr;quelle;schlagwort;anzahl;autor;autor_anzahl;rubrik;rubrik_anzahl
2001;SPIEGEL;aggression;4;;;;
;;;;keinAutor;3;;
;;;;Uwe Buse;1;;
;;;;Fiona Ehlers;1;;
;;;;Lothar Gorris;1;;
;;;;Ullrich Fichtner;1;;
;;;;Hauke Goos;1;;
;;;;Ralf Hoppe;1;;
;;;;Thomas Hüetlin;1;;
;;;;Ansbert Kneip;1;;
;;;;Dirk Kurbjuweit;1;;
;;;;Alexander Osang;1;;
;;;;Cordt Schnibben;1;;
;;;;Alexander Smoltczyk;1;;
;;;;Holger Stark;1;;
;;;;Barbara Supp;1;;
;;;;;;politik;3
;;;;;;panorama;1
2001;SPIEGEL;aktion;44;;;;
;;;;keinAutor;22;;
;;;;Carolin Emcke;2;;
;;;;Hans Hoyng;3;;
;;;;Dirk Koch;3;;
;;;;Stefan Simons;2;;
;;;;Gerhard Spörl;5;;
;;;;Georg Mascolo;4;;
;;;;Cordula Meyer;2;;
;;;;Sven Röbel;1;;
;;;;Andreas Ulrich;2;;
;;;;Siegesmund von Ilsemann;4;;
;;;;Jörg R. Mettke;3;;
;;;;Hans-Jürgen Jakobs;1;;
;;;;Marcel Rosenbach;1;;
;;;;Klaus Brinkbäumer;2;;
;;;;Erich Follath;1;;
;;;;Olaf Ihlau;3;;
;;;;Gunther Latsch;2;;
;;;;Christian Neef;3;;
;;;;Erich Wiedemann;1;;
;;;;Volkhard Windfuhr;2;;
;;;;Dinah Deckstein;1;;
;;;;Alexander Jung;2;;
;;;;Heiko Martens;1;;
;;;;Jan Fleischhauer;1;;
;;;;Padma Rao;1;;
;;;;Carlos Widmann;1;;
;;;;Klaus Wiegrefe;1;;
;;;;Ralf Beste;1;;
;;;;Horand Knaup;2;;
;;;;Alexander Neubacher;1;;
;;;;Hartmut Palmer;1;;
;;;;Gerd Rosenkranz;2;;
;;;;Gabor Steingart;1;;
;;;;Alexander Szandar;2;;
;;;;Dominik Cziesche;2;;
;;;;Rüdiger Falksohn;1;;
;;;;Uwe Buse;1;;
;;;;Fiona Ehlers;1;;
;;;;Lothar Gorris;1;;
;;;;Ullrich Fichtner;1;;
;;;;Hauke Goos;1;;
;;;;Ralf Hoppe;1;;
;;;;Thomas Hüetlin;1;;
;;;;Ansbert Kneip;1;;
;;;;Dirk Kurbjuweit;1;;
;;;;Alexander Osang;1;;
;;;;Cordt Schnibben;1;;
;;;;Alexander Smoltczyk;1;;
;;;;Holger Stark;2;;
;;;;Barbara Supp;1;;
;;;;Rüdiger Scheidges;1;;
;;;;Thomas Darnstädt;1;;
;;;;Julia Koch;1;;
;;;;Joachim Mohr;1;;
;;;;Conny Neumann;1;;
;;;;Peter Wensierski;1;;
;;;;Klaus-Peter Kerbusk;1;;
;;;;Thomas Tuma;1;;
;;;;Henryk M. Broder;1;;
;;;;;;politik;35
;;;;;;wirtschaft;6
;;;;;;panorama;3
2001;SPIEGEL;angriff;65;;;;
;;;;Carolin Emcke;1;;
;;;;Hans Hoyng;5;;
;;;;Dirk Koch;4;;
;;;;Stefan Simons;2;;
;;;;Gerhard Spörl;7;;
;;;;Georg Mascolo;1;;
;;;;Cordula Meyer;3;;
;;;;Sven Röbel;2;;
;;;;Andreas Ulrich;2;;
;;;;Ralf Beste;3;;
;;;;Jürgen Hogrefe;2;;
;;;;Horand Knaup;3;;
;;;;Jürgen Leinemann;2;;
;;;;Holger Stark;3;;
;;;;Alexander Szandar;3;;
;;;;Beat Balzli;1;;
;;;;Jan Fleischhauer;2;;
;;;;Jan Dirk Herbermann;1;;
;;;;Alexander Jung;2;;
;;;;Wolfgang Reuter;1;;
;;;;Ulrich Schäfer;1;;
;;;;Michaela Schießl;1;;
;;;;Gabor Steingart;1;;
;;;;keinAutor;27;;
;;;;Erich Follath;1;;
;;;;Gunther Latsch;2;;
;;;;Konstantin von Hammerstein;1;;
;;;;Frank Hornig;1;;
;;;;Siegesmund von Ilsemann;8;;
;;;;Jörg R. Mettke;2;;
;;;;Dieter Bednarz;2;;
;;;;Martin Doerry;1;;
;;;;Hans-Jürgen Jakobs;1;;
;;;;Marcel Rosenbach;1;;
;;;;Jörg Blech;1;;
;;;;Rafaela von Bredow;1;;
;;;;Christian Neef;5;;
;;;;Erich Wiedemann;2;;
;;;;Volkhard Windfuhr;2;;
;;;;Gerd Rosenkranz;2;;
;;;;Hartmut Palmer;1;;
;;;;Stefan Aust;1;;
;;;;Ulrich Deupmann;3;;
;;;;Annette Großbongardt;2;;
;;;;Ralf Hoppe;5;;
;;;;Claus Christian Malzahn;1;;
;;;;Alexander Smoltczyk;6;;
;;;;Jürgen Dahlkamp;1;;
;;;;Matthias Gebauer;1;;
;;;;Thomas Hüetlin;4;;
;;;;Alexander Osang;4;;
;;;;Dominik Cziesche;1;;
;;;;Olaf Ihlau;3;;
;;;;Birgit Schwarz;1;;
;;;;Uwe Buse;4;;
;;;;Ullrich Fichtner;4;;
;;;;Dirk Kurbjuweit;5;;
;;;;Walter Mayr;2;;
;;;;Klaus Wiegrefe;1;;
;;;;Susanne Koelbl;1;;
;;;;Thilo Thielke;1;;
;;;;Manfred Ertel;1;;
;;;;Lars-Olav Beier;1;;
;;;;Urs Jenny;1;;
;;;;Helmut Sorge;1;;
;;;;Martin Wolf;1;;
;;;;Fiona Ehlers;3;;
;;;;Lothar Gorris;3;;
;;;;Hauke Goos;3;;
;;;;Ansbert Kneip;3;;
;;;;Cordt Schnibben;3;;
;;;;Barbara Supp;3;;
;;;;Armin Mahler;1;;
;;;;Sandra Schulz;1;;
;;;;Klaus Brinkbäumer;1;;
;;;;Henryk M. Broder;1;;
;;;;;;politik;57
;;;;;;wissenschaft;1
;;;;;;panorama;2
;;;;;;wirtschaft;2
;;;;;;kultur;3
2001;SPIEGEL;anschlag;93;;;;
;;;;keinAutor;50;;
;;;;Carolin Emcke;1;;
;;;;Hans Hoyng;2;;
;;;;Dirk Koch;3;;
;;;;Stefan Simons;2;;
;;;;Gerhard Spörl;4;;
;;;;Georg Mascolo;6;;
;;;;Cordula Meyer;4;;
;;;;Sven Röbel;3;;
;;;;Andreas Ulrich;4;;
;;;;Ralf Beste;2;;
;;;;Jürgen Hogrefe;2;;
;;;;Horand Knaup;2;;
;;;;Jürgen Leinemann;1;;
;;;;Holger Stark;4;;
;;;;Alexander Szandar;1;;
;;;;Beat Balzli;4;;
;;;;Jan Fleischhauer;3;;
;;;;Jan Dirk Herbermann;2;;
;;;;Alexander Jung;3;;
;;;;Wolfgang Reuter;6;;
;;;;Ulrich Schäfer;1;;
;;;;Michaela Schießl;2;;
;;;;Gabor Steingart;1;;
;;;;Erich Follath;3;;
;;;;Gunther Latsch;2;;
;;;;Konstantin von Hammerstein;1;;
;;;;Frank Hornig;1;;
;;;;Klaus Brinkbäumer;5;;
;;;;Dominik Cziesche;3;;
;;;;Carsten Holm;1;;
;;;;Udo Ludwig;1;;
;;;;Barbara Schmid;1;;
;;;;Caroline Schmidt;1;;
;;;;Siegesmund von Ilsemann;1;;
;;;;Jörg R. Mettke;1;;
;;;;Dieter Bednarz;1;;
;;;;Martin Doerry;1;;
;;;;Christian Reiermann;1;;
;;;;Klaus-Peter Kerbusk;3;;
;;;;Hans-Jürgen Jakobs;1;;
;;;;Marcel Rosenbach;1;;
;;;;Marianne Wellershoff;4;;
;;;;Martin Wolf;1;;
;;;;Olaf Ihlau;1;;
;;;;Erich Wiedemann;1;;
;;;;Volkhard Windfuhr;4;;
;;;;Dietmar Pieper;1;;
;;;;Adel S. Elias;1;;
;;;;Christoph Pauly;1;;
;;;;Hilmar Schmundt;1;;
;;;;Christoph Seidler;1;;
;;;;Manfred Müller;1;;
;;;;Ulrich Schwarz;1;;
;;;;Hartmut Palmer;1;;
;;;;Gerd Rosenkranz;1;;
;;;;Bernhard Zand;1;;
;;;;Markus Dettmer;1;;
;;;;Sylvia Schreiber;1;;
;;;;Jürgen Dahlkamp;2;;
;;;;Matthias Gebauer;1;;
;;;;Ulrike Knöfel;2;;
;;;;Alexander Osang;6;;
;;;;Thomas Hüetlin;5;;
;;;;Annette Großbongardt;2;;
;;;;Philip Bethge;1;;
;;;;Marco Evers;1;;
