bin laden;ID;Treffer;Magazin;Jahr;Titel;Pfad
;P001;3;Spiegel;2001;»Höchst alarmierend«;Der Spiegel - 2001, Ausgabe 2001-15, Artikel 018-124
;P002;9;Spiegel;2001;»Wir werden zurückschlagen«;Der Spiegel - 2001, Ausgabe 2001-38, Artikel 001-124
;P003;21;Spiegel;2001;Die deutsche Spur;Der Spiegel - 2001, Ausgabe 2001-38, Artikel 003-124
;P004;1;Spiegel;2001;»Wir sind eine Welt«;Der Spiegel - 2001, Ausgabe 2001-38, Artikel 004-124
;P005;2;Spiegel;2001;Werk des Teufels;Der Spiegel - 2001, Ausgabe 2001-38, Artikel 007-124
;P006;51;Spiegel;2001;Der Prinz und die Terror-GmbH;Der Spiegel - 2001, Ausgabe 2001-38, Artikel 010-124
;P007;1;Spiegel;2001;Notfalls erschießen;Der Spiegel - 2001, Ausgabe 2001-38, Artikel 012-124
;P008;3;Spiegel;2001;Attentat im Teehaus;Der Spiegel - 2001, Ausgabe 2001-38, Artikel 017-124
;P009;1;Spiegel;2001;»Hass von ganzem Herzen«;Der Spiegel - 2001, Ausgabe 2001-38, Artikel 019-124
;P010;2;Spiegel;2001;15. September 2001 Titel;Der Spiegel - 2001, Ausgabe 2001-38, Artikel 022-124
;P011;1;Spiegel;2001;Chronik;Der Spiegel - 2001, Ausgabe 2001-38, Artikel 107-124
;P012;35;Spiegel;2001;Chamäleon & Co.;Der Spiegel - 2001, Ausgabe 2001-39, Artikel 001-096
;P013;9;Spiegel;2001;Lieb, nett und niemals böse;Der Spiegel - 2001, Ausgabe 2001-39, Artikel 002-096
;P014;1;Spiegel;2001;»Gegen das Böse kämpfen«;Der Spiegel - 2001, Ausgabe 2001-39, Artikel 005-096
;P015;17;Spiegel;2001;Zehn Jahre Krieg?;Der Spiegel - 2001, Ausgabe 2001-39, Artikel 008-096
;P016;1;Spiegel;2001;Sturm im Land der Reinen;Der Spiegel - 2001, Ausgabe 2001-39, Artikel 010-096
;P017;10;Spiegel;2001;Die Scharaden der Gotteskrieger;Der Spiegel - 2001, Ausgabe 2001-39, Artikel 012-096
;P018;1;Spiegel;2001;Blutiger September;Der Spiegel - 2001, Ausgabe 2001-39, Artikel 013-096
;P019;1;Spiegel;2001;»Terror ist eine Frage der Definition«;Der Spiegel - 2001, Ausgabe 2001-39, Artikel 015-096
;P020;2;Spiegel;2001;Yeah, Baby!;Der Spiegel - 2001, Ausgabe 2001-39, Artikel 016-096
;P021;1;Spiegel;2001;Das deutsche Afghanistan;Der Spiegel - 2001, Ausgabe 2001-39, Artikel 030-096
;P022;32;Spiegel;2001;»Vielköpfige Hydra«;Der Spiegel - 2001, Ausgabe 2001-39, Artikel 038-096
;P023;5;Spiegel;2001;Barney und seine Feinde;Der Spiegel - 2001, Ausgabe 2001-39, Artikel 048-096
;P024;2;Spiegel;2001;»Leibhaftige Hölle«;Der Spiegel - 2001, Ausgabe 2001-39, Artikel 066-096
;P025;2;Spiegel;2001;Chronik;Der Spiegel - 2001, Ausgabe 2001-39, Artikel 082-096
;P026;7;Spiegel;2001;Anleitung zum Massenmord;Der Spiegel - 2001, Ausgabe 2001-40, Artikel 001-117
;P027;13;Spiegel;2001;Krieg im Schatten;Der Spiegel - 2001, Ausgabe 2001-40, Artikel 004-117
;P028;1;Spiegel;2001;Fünfte Kolonne;Der Spiegel - 2001, Ausgabe 2001-40, Artikel 005-117
