jahr;quelle;allgemeines_schlagwort;spezifisches_schlagwort;satz;kwic;url
2001;SPIEGEL;anschlag;bin laden;Zwei der Araber waren eingeschrieben als Elektrotechnik-Studenten an der Technischen Universität Hamburg-Harburg, ein vierter Mann wurde Donnerstagnacht noch gesucht - eine krude Spur in die islamisch-fundamentalistische Szene in Deutschland (siehe Seite 26).</p><p> Den offenbar deutlichsten Hinweis darauf, dass Bin Laden hinter dem Anschlag steckt, erhielten Amerikas Fahnder von den Deutschen: Der Bundesnachrichtendienst (BND) fing Telefongespräche aus dem Umfeld der Gruppe auf, deren Mitglieder sich stolz mit den Anschlägen brüsteten.</p><p> Für Meldungen, Bin Laden sei von seinen afghanischen Gönnern »unter Hausarrest« gestellt worden, gab es zunächst keine Bestätigung.;Laden hinter dem Anschlag steckt erhielten Amerikas;https://www.spiegel.de/politik/wir-werden-zurueckschlagen-a-6eb096ec-0002-0001-0000-000020128547
2001;SPIEGEL;anschlag;world trade center;Am Tag nach dem Anschlag, als die Bergungsarbeiten auf Hochtouren liefen, verhinderte eine sorgsame Regie, dass die Fernsehzuschauer auch nur einen Toten sahen.</p><p> Im riesigen Komplex des World Trade Center arbeiteten 50 000 Menschen.;Tag nach dem Anschlag als die Bergungsarbeiten;https://www.spiegel.de/politik/wir-werden-zurueckschlagen-a-6eb096ec-0002-0001-0000-000020128547
2001;SPIEGEL;angriff;bin laden;»Dann«, so der CSU-Mann, »werden die USA ihre Sicherheitsmaßnahmen extrem hochfahren, um sich vor einem möglichen neuen Angriff zu schützen.« Bin Laden seinerseits würde »möglicherweise nach Ersatzzielen suchen«.</p><p> Was das genau bedeuten könnte, mag Beckstein nicht öffentlich erörtern.;einem möglichen neuen Angriff zu schützen Bin;https://www.spiegel.de/politik/die-deutsche-spur-a-2b667cd5-0002-0001-0000-000020128581
2001;SPIEGEL;angriff;world trade center;Nach Schließung der Wall Street handelten sie in Europa, stellten Positionen glatt, spekulierten gegen den Dollar, kauften Gold und Rüstungsaktien (siehe Seite 116).</p><p> Auch bei der Deutschen Bank in New York, die nur zum kleinen Teil im World Trade Center untergebracht war, ging der Handel mit Aktien und Devisen weiter, wie Deutsche-Bank-Chef Rolf Breuer im Interview (siehe Seite 118) bestätigt.</p><p> Die Kundendateien waren zwar teilweise unbrauchbar durch den Angriff.;unbrauchbar durch den Angriff;https://www.spiegel.de/politik/keine-panik-a-09b66e5f-0002-0001-0000-000020128956
2001;SPIEGEL;anschlag;osama bin laden;Doch sein ökonomisches Weltbild raubt herkömmlichen Superreichen den Schlaf.</p><p> Topterrorist Osama Bin Laden, der mit dem jüngsten Anschlag auf das World Trade Center in Verbindung gebracht wird, gehört zur Gruppe der radikalen Islamisten.;mit dem jüngsten Anschlag auf das World;https://www.spiegel.de/politik/werk-des-teufels-a-3cedc8c4-0002-0001-0000-000020128972
2001;SPIEGEL;anschlag;bin laden;Doch sein ökonomisches Weltbild raubt herkömmlichen Superreichen den Schlaf.</p><p> Topterrorist Osama Bin Laden, der mit dem jüngsten Anschlag auf das World Trade Center in Verbindung gebracht wird, gehört zur Gruppe der radikalen Islamisten.;mit dem jüngsten Anschlag auf das World;https://www.spiegel.de/politik/werk-des-teufels-a-3cedc8c4-0002-0001-0000-000020128972
2001;SPIEGEL;anschlag;world trade center;Doch sein ökonomisches Weltbild raubt herkömmlichen Superreichen den Schlaf.</p><p> Topterrorist Osama Bin Laden, der mit dem jüngsten Anschlag auf das World Trade Center in Verbindung gebracht wird, gehört zur Gruppe der radikalen Islamisten.;mit dem jüngsten Anschlag auf das World;https://www.spiegel.de/politik/werk-des-teufels-a-3cedc8c4-0002-0001-0000-000020128972
2001;SPIEGEL;anschlag;osama bin laden;"Doch dann ergriff Gastgeber Osama Bin Laden selbst das Wort und lockerte die dröge Feier auf - mit einem Gedicht.</p><p> Es waren nicht die Brautleute, die der aus Saudi-Arabien stammende Multimillionär da poetisch pries, sondern die Terroristen, die im letzten Oktober vor der jemenitischen Küste ein Symbol der amerikanischen Supermacht beschädigt hatten, den US-Zerstörer »Cole«; 17 Amerikaner starben bei dem Anschlag.";starben bei dem Anschlag;https://www.spiegel.de/politik/der-prinz-und-die-terror-gmbh-a-5b67fd7d-0002-0001-0000-000020129105
2001;SPIEGEL;anschlag;bin laden;"Doch dann ergriff Gastgeber Osama Bin Laden selbst das Wort und lockerte die dröge Feier auf - mit einem Gedicht.</p><p> Es waren nicht die Brautleute, die der aus Saudi-Arabien stammende Multimillionär da poetisch pries, sondern die Terroristen, die im letzten Oktober vor der jemenitischen Küste ein Symbol der amerikanischen Supermacht beschädigt hatten, den US-Zerstörer »Cole«; 17 Amerikaner starben bei dem Anschlag.";starben bei dem Anschlag;https://www.spiegel.de/politik/der-prinz-und-die-terror-gmbh-a-5b67fd7d-0002-0001-0000-000020129105
2001;SPIEGEL;attentat;osama bin laden;"»Allahu akbar« (""Gott ist groß""), rief die Festgemeinde.</p><p> Nichts ist bewiesen: Das Attentat auf das amerikanische Kriegsschiff im Jemen gilt bis heute als nicht vollständig geklärt; eine direkte Verantwortung für die Tat hat Osama Bin Laden, bei aller zur Schau gestellten Genugtuung über die Attentate, bei aller Sympathie für die Mörder, stets geleugnet oder zumindest nicht bestätigt - genauso wie er eine Beteiligung an den verheerenden Anschlägen gegen die US-Botschaften in Kenia und Tansania 1998 bestritt.";ist bewiesen Das Attentat auf das amerikanische;https://www.spiegel.de/politik/der-prinz-und-die-terror-gmbh-a-5b67fd7d-0002-0001-0000-000020129105
